episode,reward,ema_reward
0,-1131.8797437803307,-1131.8797437803307
1,-244.9248582981999,-954.4887666839046
2,-227.49289696575818,-809.0895927402754
3,-451.72968046796217,-737.6176102858128
4,-521.1779044642922,-694.3296691215088
5,-462.1331961690391,-647.8903745310149
6,-736.0461166929762,-665.5215229634073
7,-773.0183589241465,-687.0208901555552
8,-787.559680986275,-707.1286483216993
9,-788.6803957592164,-723.4389978092026
10,-785.9623408598119,-735.9436664193245
11,-807.2580352005302,-750.2065401755657
12,-787.360607272851,-757.6373535950228
13,-789.8191695675863,-764.0737167895355
14,-800.249391069923,-771.308851645613
15,-798.7848605913829,-776.8040534347671
16,-789.2261333789539,-779.2884694236045
17,-787.8228946256238,-780.9953544640084
18,-787.4365060435782,-782.2835847799224
19,-799.2719155860902,-785.681250941156
20,-795.7247690293575,-787.6899545587963
21,-753.7477473667298,-780.901513120383
22,-267.1057983421402,-678.1423701647344
23,-1547.5143793179368,-852.0167719953749
24,-2042.1228091745293,-1090.037979431206
25,-2012.317863757859,-1274.4939562965367
26,-1658.8798505845048,-1351.3711351541303
27,-863.6039741685595,-1253.817702957016
28,-848.4312965923169,-1172.7404216840764
29,-814.7913719339136,-1101.1506117340439
30,-808.8521596158672,-1042.6909213104086
31,-787.6209169216434,-991.6769204326556
32,-817.3600165140647,-956.8135396489374
33,-799.5274001403225,-925.3563117472145
34,-787.7984201821364,-897.8447334341989
35,-811.831428012072,-880.6420723497737
36,-797.9740756435833,-864.1084730085356
37,-819.0375570973449,-855.0942898262974
38,-790.0455313996243,-842.0845381409629
39,-800.5829483435912,-833.7842201814885
40,-794.6524454714421,-825.9578652394792
41,-820.8837787601019,-824.9430479436039
42,-799.8272199001217,-819.9198823349076
43,-822.2610162304967,-820.3881091140254
44,-809.9394685711053,-818.2983810054415
45,-810.0167742899795,-816.6420596623491
46,-800.1974091231147,-813.3531295545023
47,-798.9920075691738,-810.4809051574366
48,-787.5429155427801,-805.8933072345053
49,-788.7867059592949,-802.4719869794633
50,-799.7416444002738,-801.9259184636254
51,-797.3544591702611,-801.0116266049527
52,-810.520077090911,-802.9133167021444
53,-788.5835495632806,-800.0473632743717
54,-790.0318267109949,-798.0442559616963
55,-797.5516216774867,-797.9457291048544
56,-789.5316734660294,-796.2629179770894
57,-799.7918187199815,-796.9686981256679
58,-819.8575127280716,-801.5464610461486
59,-796.5048382438213,-800.5381364856833
60,-797.4035914499409,-799.9112274785349
61,-808.618563632234,-801.6526947092748
62,-780.4964704341257,-797.421449854245
63,-787.6064032463358,-795.4584405326632
64,-788.4510663933048,-794.0569657047915
65,-809.5726558099899,-797.1601037258313
66,-766.8699812861583,-791.1020792378968
67,-789.373072778774,-790.7562779460723
68,-798.0415116638784,-792.2133246896335
69,-799.6428583294128,-793.6992314175894
70,-790.4657807211385,-793.0525412782993
71,-810.545918243493,-796.551216671338
72,-788.2681113648044,-794.8945956100314
73,-796.2561727660154,-795.1669110412282
74,-797.9617697293469,-795.725882778852
75,-798.0623222826798,-796.1931706796177
76,-801.0216225454659,-797.1588610527874
77,-809.1387061514772,-799.5548300725254
78,-790.2919206751566,-797.7022481930518
79,-778.252344470026,-793.8122674484466
80,-797.6665373411703,-794.5831214269914
81,-798.794037140052,-795.4253045696036
82,-810.0599519909814,-798.3522340538792
83,-799.7069393516308,-798.6231751134295
84,-799.4222940977871,-798.7829989103011
85,-798.8988889434946,-798.8061769169399
86,-800.139139064007,-799.0727693463534
87,-789.2283743001682,-797.1038903371165
88,-788.65441433197,-795.4139951360872
89,-788.2803991876308,-793.9872759463959
90,-787.109932110783,-792.6118071792733
91,-799.8047345690445,-794.0503926572277
92,-797.4865960507501,-794.7376333359323
93,-821.4312425692553,-800.076355182597
94,-796.9833548045013,-799.4577551069779
95,-796.3466507713291,-798.8355342398481
96,-785.6776401446937,-796.2039554208174
97,-809.9155123171846,-798.9462668000908
98,-798.2574206740512,-798.808497574883
99,-798.6787998753165,-798.7825580349697
100,-788.2430589614594,-796.6746582202677
101,-802.7588926782263,-797.8915051118595
102,-787.2840258455834,-795.7700092586043
103,-798.6505684849773,-796.3461211038789
104,-809.0993339066365,-798.8967636644304
105,-819.9756407244441,-803.1125390764332
106,-790.6028306526031,-800.6105973916673
107,-812.8691414994768,-803.0623062132292
108,-799.4184722830902,-802.3335394272015
109,-788.0112713345704,-799.4690858086753
110,-807.2749562106637,-801.0302598890731
111,-799.5253705449885,-800.7292820202563
112,-800.3618288518039,-800.6557913865659
113,-788.9461699444919,-798.3138670981511
114,-786.4383910878621,-795.9387718960934
115,-788.8703170012992,-794.5250809171346
116,-797.1448169056013,-795.049028114828
117,-797.3231726758344,-795.5038570270293
118,-801.9825856814889,-796.7996027579213
119,-799.1150352130222,-797.2626892489416
120,-799.609559318059,-797.7320632627651
121,-787.0869869237771,-795.6030479949676
122,-790.8299875042218,-794.6484358968185
123,-799.2853472932958,-795.5758181761139
124,-800.5388090803906,-796.5684163569692
125,-807.8413726076899,-798.8230076071135
126,-777.2441991631706,-794.507245918325
127,-796.4117341657033,-794.8881435678007
128,-800.816960765384,-796.0739070073175
129,-769.4826578710561,-790.7556571800653
130,-800.5583135777026,-792.7161884595929
131,-800.9467170647513,-794.3622941806246
132,-798.0657712051636,-795.1029895855324
133,-798.7841292810849,-795.839217524643
134,-799.8952800155602,-796.6504300228265
135,-800.6660354961789,-797.453551117497
136,-817.8164054022532,-801.5261219744483
137,-810.295348075689,-803.2799671946965
138,-798.9431286664327,-802.4125994890437
139,-787.232074791266,-799.3764945494881
140,-778.5842603386446,-795.2180477073196
141,-800.5076859967979,-796.2759753652153
142,-799.5432126967751,-796.9294228315273
143,-798.6817703319962,-797.2798923316211
144,-820.0040314009489,-801.8247201454867
145,-799.9931179028308,-801.4583996969557
146,-808.3618771435459,-802.8390951862738
147,-800.9057118560605,-802.4524185202312
148,-765.2229530087493,-795.0065254179349
149,-832.1234291743602,-802.4299061692201
150,-809.4790388121148,-803.839732697799
151,-776.9509688180333,-798.461979921846
152,-797.8190819613156,-798.33340032974
153,-798.3439436772504,-798.3355089992422
154,-800.7934079727833,-798.8270887939505
155,-788.6190542868826,-796.785481892537
156,-799.0600250144049,-797.2403905169106
157,-787.8844732497179,-795.3692070634721
158,-786.7656485027364,-793.648495351325
159,-798.9001510370542,-794.6988264884709
160,-800.484586810575,-795.8559785528918
161,-809.3010775425346,-798.5449983508204
162,-787.4618654445133,-796.328371769559
163,-805.6216643940686,-798.187030294461
164,-798.0736152449227,-798.1643472845535
165,-821.9402724132382,-802.9195323102906
166,-820.5034904939122,-806.436323947015
167,-797.2094763232066,-804.5909544222534
168,-778.7574109870043,-799.4242457352036
169,-798.4811938207799,-799.2356353523189
170,-800.998067157382,-799.5881217133316
171,-800.0891736339826,-799.6883320974619
172,-797.9986977374338,-799.3504052254564
173,-790.2191173399525,-797.5241476483557
174,-811.942612656667,-800.407840650018
175,-767.1493339761004,-793.7561393152345
176,-800.2997777381296,-795.0648669998135
177,-809.4423671930148,-797.9403670384538
178,-802.3148205862136,-798.8152577480059
179,-797.158233901861,-798.4838529787769
180,-777.2727662738553,-794.2416356377927
181,-796.9383719940732,-794.7809829090488
182,-799.0546374898947,-795.635713825218
183,-798.8223846826687,-796.2730479967081
184,-799.8184524424139,-796.9821288858493
185,-799.1618152761213,-797.4180661639037
186,-790.9057683009223,-796.1156065913075
187,-798.3244550164438,-796.5573762763348
188,-811.3338452607236,-799.5126700732126
189,-796.6748863916591,-798.945113336902
190,-799.7553490312669,-799.107160475775
191,-768.7199733030166,-793.0297230412234
192,-800.288929551234,-794.4815643432256
193,-789.1930930642527,-793.4238700874312
194,-788.1521971642724,-792.3695355027994
195,-799.8341258415044,-793.8624535705405
196,-789.3027464467331,-792.9505121457792
197,-789.023764286093,-792.165162573842
198,-788.318478051784,-791.3958256694306
199,-787.6365732066705,-790.6439751768786
200,-790.3377883077155,-790.582737803046
201,-796.8320642831701,-791.8326030990709
202,-797.9561629524887,-793.0573150697545
203,-799.5724402975595,-794.3603401153156
204,-777.3732295407443,-790.9629180004014
